"city","highest_price"
Medina,27777000
Bellevue,14900000
Mercer Island,13900000
Seattle,12823000
Clyde Hill,12800000
Shoreline,11500000
Vancouver,9250000.0
Issaquah,8198000.0
Kirkland,7880000.0
Woodinville,6900000.0
Olympia,6000000.0
Everett,5800000.0
Duvall,5500000.0
Ridgefield,5250000.0
Bainbridge Island,5200000.0
Edmonds,4999000.0
Moses Lake,4900000.0
Spokane,4900000.0
Renton,4900000.0
Clarkston,4899000.0
Woodway,4895000.0
Cle Elum,4850000.0
Pasco,4765000.0
Chelan,4500000.0
Redmond,4299950.0
Gig Harbor,4299000.0
Yarrow Point,4250000.0
Bellingham,4240000.0
Lynden,3994000.0
Sequim,3985000.0
Airway Heights,3950000.0
Lynnwood,3800000.0
Sammamish,3590000.0
Port Townsend,3500000.0
Newcastle,3495950.0
Longview,3495000.0
Lake Stevens,3475000.0
Carnation,3275000.0
Benton City,3200000.0
Spokane Valley,3200000.0
Newport,2995000.0
Burien,2995000.0
Monroe,2990000.0
Wenatchee,2950000.0
East Wenatchee,2950000.0
Maple Valley,2899000.0
Tacoma,2875900.0
Bothell,2875000.0
Puyallup,2800000.0
Walla Walla,2750000.0
Camas,2750000.0
Buckley,2600000.0
Normandy Park,2594000.0
Grandview,2500000.0
Goldendale,2499900.0
Mukilteo,2499000.0
Kent,2400000.0
Port Angeles,2400000.0
Snohomish,2350000.0
Bonney Lake,2295000.0
Snoqualmie,2250000.0
Liberty Lake,2250000.0
Auburn,2200000.0
Anacortes,2195000.0
Brier,2184950.0
Oak Harbor,2100000.0
Leavenworth,2100000.0
Des Moines,2100000.0
Langley,2000000.0
Battle Ground,2000000.0
